a,b,type
34,15,regular
29,15,regular
34,29,regular
40,29,regular
34,40,regular
19,30,regular
11,15,regular
17,34,regular
11,34,regular
17,11,regular
40,19,regular
34,19,regular
17,32,regular
32,34,regular
19,32,regular
30,40,regular
11,3,regular
2,3,regular
10,3,regular
4,10,regular
2,4,regular
6,4,regular
5,21,regular
10,21,regular
4,5,regular
39,5,regular
7,24,regular
21,24,regular
5,7,regular
9,7,regular
24,22,regular
21,7,regular
14,10,regular
21,14,regular
24,14,regular
22,14,regular
29,14,regular
10,15,river
14,15,river
29,22,regular
28,29,regular
23,22,regular
28,23,regular
28,40,regular
36,28,regular
30,36,regular
23,25,regular
43,25,regular
27,23,regular
37,27,regular
12,3,regular
13,2,regular
8,4,regular
16,17,regular
35,17,regular
1,41,regular
32,41,regular
45,58,regular
41,45,regular
58,41,regular
19,58,regular
36,46,river
30,46,river
44,46,regular
30,44,river
58,49,regular
44,58,regular
49,44,regular
52,58,regular
45,52,regular
49,52,regular
37,70,regular
59,37,regular
70,61,river
63,61,regular
69,64,regular
69,68,regular
63,64,regular
59,63,regular
70,59,regular
60,61,river
70,60,regular
88,60,regular
61,69,regular
64,295,regular
71,64,regular
65,71,regular
296,65,regular
283,297,regular
65,62,regular
26,62,regular
297,26,regular
299,26,regular
297,298,regular
299,298,regular
282,299,regular
284,298,regular
277,281,regular
66,300,regular
62,66,regular
67,65,regular
66,67,regular
68,67,regular
301,68,regular
56,72,regular
88,72,regular
56,60,regular
76,56,regular
46,76,regular
88,74,regular
72,87,regular
74,87,regular
44,54,regular
76,54,regular
49,78,regular
55,78,river
52,55,river
48,52,river
55,48,regular
45,48,river
47,48,regular
42,47,river
47,51,regular
53,51,regular
50,53,regular
80,48,regular
79,55,regular
80,79,regular
77,78,river
54,78,regular
84,54,regular
84,57,regular
54,57,regular
76,57,regular
89,57,regular
84,75,regular
89,75,river
77,84,regular
87,89,regular
74,102,regular
80,55,regular
79,77,regular
75,103,regular
91,103,regular
86,77,river
79,86,river
81,86,regular
79,81,river
80,81,regular
92,86,regular
91,86,river
96,91,river
92,96,regular
97,103,regular
119,103,regular
98,89,regular
119,98,regular
103,89,river
111,87,regular
102,111,regular
115,102,regular
116,115,regular
102,116,regular
114,116,river
98,111,regular
114,98,regular
118,114,river
