id,kind,card_ids,piece_id,token,x,y,w,h
axis_trench_7,token,62,,german_trench,151,137,60,60
axis_trench_39,token,94,,german_trench,237,137,60,60
axis_trench_54,token,109,,german_trench,320,137,60,60
piece_501,piece,77,501,,418,137,75,75
piece_492,piece,78,492,,525,137,75,75
piece_564,piece,78,564,,609,137,75,75
piece_518,piece,79,518,,704,138,60,60
piece_571,piece,79,571,,773,138,60,60
piece_561,piece,87,561,,869,138,75,75
piece_562,piece,87,562,,953,138,75,75
piece_573,piece,87,573,,1031,138,60,60
piece_574,piece,87,574,,1116,138,60,60
piece_502,piece,88,502,,151,253,75,75
piece_563,piece,88,563,,234,253,75,75
piece_575,piece,88,575,,308,253,60,60
piece_576,piece,88,576,,385,253,60,60
piece_560,piece,89,560,,472,253,75,75
piece_577,piece,89,577,,548,253,60,60
piece_500,piece,90,500,,638,253,75,75
piece_565,piece,90,565,,720,253,60,60
piece_497,piece,91,497,,817,253,75,75
piece_572,piece,91,572,,892,253,60,60
piece_496,piece,92,496,,990,253,75,75
axis_atlantic_1,token,93,,atlantic_wall_trench,1098,253,60,60
axis_atlantic_2,token,93,,atlantic_wall_trench,1178,253,60,60
piece_440,piece,2,440,,149,375,75,75
piece_444,piece,2,444,,231,375,75,75
piece_445,piece,2,445,,314,375,75,75
piece_446,piece,2,446,,396,375,75,75
piece_483,piece,2,483,,472,375,60,60
piece_484,piece,2,484,,544,375,60,60
piece_485,piece,2,485,,615,375,60,60
piece_486,piece,2,486,,681,375,60,60
piece_469,piece,4,469,,773,381,60,60
piece_474,piece,4,474,,842,381,60,60
piece_475,piece,4,475,,912,381,60,60
piece_476,piece,4,476,,983,381,60,60
piece_477,piece,4,477,,1052,381,60,60
piece_478,piece,4,478,,1122,381,60,60
piece_462,piece,13,462,,141,499,60,60
piece_465,piece,13,465,,211,499,60,60
piece_466,piece,13,466,,281,498,60,60
piece_467,piece,13,467,,351,498,60,60
piece_468,piece,13,468,,421,498,60,60
piece_447,piece,24,447,,514,491,75,75
piece_448,piece,24,448,,597,491,75,75
piece_449,piece,24,449,,679,491,75,75
piece_487,piece,24,487,,756,499,60,60
piece_488,piece,24,488,,827,499,60,60
piece_489,piece,24,489,,899,499,60,60
piece_490,piece,29,490,,986,499,60,60
piece_491,piece,30,491,,1097,499,60,60
piece_451,piece,31,451,,150,607,75,75
piece_452,piece,31,452,,232,607,75,75
piece_453,piece,31,453,,315,607,75,75
piece_454,piece,31,454,,397,607,75,75
piece_455,piece,37,455,,500,605,75,75
piece_456,piece,37,456,,584,606,75,75
piece_457,piece,37,457,,665,606,75,75
piece_459,piece,39,459,,769,605,75,75
piece_460,piece,39,460,,852,605,75,75
piece_461,piece,39,461,,933,605,75,75
piece_559,piece,42,559,,1165,607,75,75
piece_401,piece,1;16,401,,164,727,75,75
piece_427,piece,1;16,427,,245,727,60,60
piece_428,piece,1;16,428,,310,727,60,60
piece_404,piece,5,404,,436,727,75,75
piece_419,piece,5,419,,517,727,60,60
piece_403,piece,21;34;52,403,,633,727,75,75
piece_405,piece,26,405,,757,727,75,75
piece_420,piece,26,420,,839,727,60,60
piece_426,piece,38,426,,945,730,75,75
piece_434,piece,38,434,,1025,730,60,60
piece_422,piece,40,422,,1133,730,75,75
piece_435,piece,40,435,,1212,730,60,60
piece_402,piece,33;50,402,,177,842,75,75
piece_421,piece,33;50,421,,267,842,75,75
piece_413,piece,33;50,413,,337,899,60,60
piece_429,piece,33;50,429,,414,899,60,60
piece_430,piece,33;50,430,,480,899,60,60
piece_556,piece,52,556,,605,927,75,75
piece_437,piece,52,437,,686,927,60,60
piece_424,piece,34;52,424,,769,886,75,75
piece_431,piece,34,431,,843,842,60,60
piece_432,piece,52,432,,843,951,60,60
piece_425,piece,41,425,,945,842,75,75
piece_436,piece,41,436,,1025,842,60,60
piece_423,piece,45,423,,1133,842,75,75
piece_414,piece,45,414,,1212,842,60,60
piece_415,piece,46,415,,943,950,60,60
piece_433,piece,46,433,,1013,950,60,60
cards_axis_7_39_54,card,62;94;109,,,101,74,271,110
cards_axis_22,card,77,,,376,74,96,110
cards_axis_23,card,78,,,475,74,185,110
cards_axis_24,card,79,,,665,74,149,110
cards_axis_32,card,87,,,820,74,320,110
cards_axis_33,card,88,,,101,190,320,110
cards_axis_34,card,89,,,424,190,163,110
cards_axis_35,card,90,,,592,190,169,110
cards_axis_36,card,91,,,765,190,168,110
cards_axis_37,card,92,,,938,190,101,110
cards_axis_38,card,93,,,1043,190,190,110
cards_allied_2,card,2,,,101,311,627,111
cards_allied_4,card,4,,,731,311,430,111
cards_allied_13,card,13,,,101,428,360,109
cards_allied_24,card,24,,,464,428,475,109
cards_allied_29,card,29,,,943,428,102,109
cards_allied_30,card,30,,,1048,428,98,109
cards_allied_31,card,31,,,101,542,346,111
cards_allied_37,card,37,,,450,542,264,111
cards_allied_39,card,39,,,718,542,264,111
cards_allied_42,card,42,,,1104,542,112,111
cards_allied_1_16,card,1;16,,,101,665,262,112
cards_allied_5,card,5,,,367,665,201,112
cards_allied_21,card,21,,,572,665,119,112
cards_allied_26,card,26,,,695,665,188,112
cards_allied_38,card,38,,,887,665,188,112
cards_allied_40,card,40,,,1078,665,183,112
cards_allied_33_50,card,33;50,,,101,779,422,207
cards_allied_34_52,card,34;52,,,526,779,357,207
cards_allied_41,card,41,,,887,779,187,110
cards_allied_45,card,45,,,1078,779,183,110
cards_allied_46,card,46,,,887,894,163,92
