card_id,sequence,kind,piece_id,nation,count,placement,label_zh,selector_name,selector_names,reduced
2,1,map,440,,,standard,顿河方面军,,,
2,2,map,444,,,standard,斯大林格勒方面军,,,
2,3,map,445,,,standard,草原方面军,,,
2,4,map,446,,,standard,沃罗涅日方面军,,,
2,5,reserve,,su,4,,苏军集团军,SU SCU,,
4,1,map,469,,,lcu_style,苏联第1坦克集团军,,,
4,2,map,474,,,lcu_style,苏联第2坦克集团军,,,
4,3,map,475,,,lcu_style,苏联第3坦克集团军,,,
4,4,map,476,,,lcu_style,苏联第4坦克集团军,,,
4,5,map,477,,,lcu_style,苏联第5坦克集团军,,,
4,6,map,478,,,lcu_style,苏联第6坦克集团军,,,
5,1,map,404,,,desert,英国沙漠集团军,,,
5,2,reserve,,cw,1,,英联邦军,,,
13,1,map,462,,,lcu_style,苏联第1突击集团军,,,
13,2,map,465,,,lcu_style,苏联第2突击集团军,,,
13,3,map,466,,,lcu_style,苏联第3突击集团军,,,
13,4,map,467,,,lcu_style,苏联第4突击集团军,,,
13,5,map,468,,,lcu_style,苏联第5突击集团军,,,
24,1,map,447,,,standard,布良斯克方面军,,,
24,2,map,448,,,standard,加里宁方面军,,,
24,3,map,449,,,standard,沃尔霍夫方面军,,,
24,4,reserve,,su,3,,苏军集团军,SU SCU,,
26,1,map,405,,,western,加拿大第1集团军,,,
26,2,reserve,,cw,1,,英联邦军,,,
29,1,reserve,,su,1,,苏军集团军,SU SCU,,
30,1,reserve,,su,1,,苏军集团军,SU SCU,,
31,1,replace,451,,,front_upgrade,苏联第1乌克兰方面军,,,
31,2,replace,452,,,front_upgrade,苏联第2乌克兰方面军,,,
31,3,replace,453,,,front_upgrade,苏联第3乌克兰方面军,,,
31,4,replace,454,,,front_upgrade,苏联第4乌克兰方面军,,,
37,1,replace,455,,,front_upgrade,苏联第1波罗的海方面军,,,
37,2,replace,456,,,front_upgrade,苏联第2波罗的海方面军,,,
37,3,replace,457,,,front_upgrade,苏联第3波罗的海方面军,,,
38,1,map,426,,,western,美国第15集团军,,,
38,2,reserve,,us,1,,美国军,,,
39,1,replace,459,,,front_upgrade,苏联第1白俄罗斯方面军,,,
39,2,replace,460,,,front_upgrade,苏联第2白俄罗斯方面军,,,
39,3,replace,461,,,front_upgrade,苏联第3白俄罗斯方面军,,,
40,1,map,422,,,western,美国第3集团军,,,
40,2,reserve,,us,1,,美国军,,,
41,1,map,425,,,western,美国第9集团军,,,
41,2,reserve,,us,1,,美国军,,,
79,1,reserve,,ge,1,,德国装甲军,GE Armor SCU,,
79,2,reserve,,ge,1,,党卫军装甲军,,GE 1SS Armor Corps;GE 2SS Armor Corps,
87,1,map,561,,,standard,德国第10集团军,,,true
87,2,map,562,,,standard,德国第14集团军,,,true
87,3,reserve,,ge,2,,德国军,GE SCU,,
88,1,map,502,,,standard,德国第15集团军,,,true
88,2,map,563,,,standard,德国第19集团军,,,true
88,3,reserve,,ge,2,,德国军,GE SCU,,
89,1,map,560,,,standard,德国第8集团军,,,
89,2,reserve,,ge,1,,德国军,GE SCU,,
90,1,map,500,,,standard,德国第5装甲集团军,,,
90,2,reserve,,ge,1,,德国装甲军,GE Armor SCU,,
91,1,map,497,,,standard,德国第6党卫军装甲集团军,,,
91,2,reserve,,ge,1,,党卫军装甲军,,GE 1SS Armor Corps;GE 2SS Armor Corps,
92,1,map,496,,,standard,德国第1伞兵集团军,,,
