a,b,rule,flags
34,15,2.1,map_symbol_reviewed;reviewed;printed_map_review
29,15,2.1,map_symbol_reviewed;reviewed;printed_map_review
34,29,2.1,map_symbol_reviewed;reviewed;printed_map_review
40,29,2.1,map_symbol_reviewed;reviewed;printed_map_review
34,40,2.1,map_symbol_reviewed;reviewed;printed_map_review
19,30,2.1,map_symbol_reviewed;reviewed;printed_map_review
11,15,2.1,map_symbol_reviewed;reviewed;printed_map_review
17,34,2.1,map_symbol_reviewed;reviewed;printed_map_review
11,34,2.1,map_symbol_reviewed;reviewed;printed_map_review
17,11,2.1,map_symbol_reviewed;reviewed;printed_map_review
40,19,2.1,map_symbol_reviewed;reviewed;printed_map_review
34,19,2.1,map_symbol_reviewed;reviewed;printed_map_review
17,32,2.1,map_symbol_reviewed;reviewed;printed_map_review
32,34,2.1,map_symbol_reviewed;reviewed;printed_map_review
19,32,2.1,map_symbol_reviewed;reviewed;printed_map_review
30,40,2.1,map_symbol_reviewed;reviewed;printed_map_review
11,3,2.1,map_symbol_reviewed;reviewed;printed_map_review
2,3,2.1,map_symbol_reviewed;reviewed;printed_map_review
10,3,2.1,map_symbol_reviewed;reviewed;printed_map_review
4,10,2.1,map_symbol_reviewed;reviewed;printed_map_review
2,4,2.1,map_symbol_reviewed;reviewed;printed_map_review
6,4,2.1,map_symbol_reviewed;reviewed;printed_map_review
5,21,2.1,map_symbol_reviewed;reviewed;printed_map_review
10,21,2.1,map_symbol_reviewed;reviewed;printed_map_review
4,5,2.1,map_symbol_reviewed;reviewed;printed_map_review
39,5,2.1,map_symbol_reviewed;reviewed;printed_map_review
7,24,2.1,map_symbol_reviewed;reviewed;printed_map_review
21,24,2.1,map_symbol_reviewed;reviewed;printed_map_review
5,7,2.1,map_symbol_reviewed;reviewed;printed_map_review
9,7,2.1,map_symbol_reviewed;reviewed;printed_map_review
24,22,2.1,map_symbol_reviewed;reviewed;printed_map_review
21,7,2.1,map_symbol_reviewed;reviewed;printed_map_review
14,10,2.1,map_symbol_reviewed;reviewed;printed_map_review
21,14,2.1,map_symbol_reviewed;reviewed;printed_map_review
24,14,2.1,map_symbol_reviewed;reviewed;printed_map_review
