id,flags
1,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
2,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
3,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
4,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
5,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
6,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
7,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
8,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
9,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
10,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
11,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
12,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
13,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
14,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
15,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
16,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
17,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
18,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
19,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
20,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
21,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
22,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed;vichy_boundary_corrected
23,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
24,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
25,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
26,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
27,legacy_layout;reviewed;auto_map_fill;map_symbol_reviewed
28,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
29,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
30,legacy_layout;reviewed;auto_map_fill;map_symbol_reviewed
31,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
32,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
33,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
34,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
35,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
36,legacy_layout;reviewed;auto_map_fill;map_symbol_reviewed
37,legacy_layout;reviewed;auto_map_fill;map_symbol_reviewed
38,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
39,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
40,legacy_layout;reviewed;auto_map_fill;map_symbol_reviewed
41,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
42,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
43,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
44,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
45,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
46,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
47,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
48,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
49,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
50,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
51,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
52,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
53,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
54,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
55,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
56,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
57,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
58,legacy_layout;auto_map_fill;resource_reviewed;reviewed;map_symbol_reviewed
59,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
60,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
61,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
62,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
63,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
64,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
65,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
66,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
67,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
68,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
69,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
70,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
71,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
72,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
74,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
75,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
76,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
77,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
78,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
79,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
80,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
81,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
82,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
83,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
84,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
85,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
86,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
87,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
88,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
89,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
90,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
91,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
92,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
93,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
94,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
95,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
96,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
97,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
98,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
99,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
100,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
101,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
102,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
103,legacy_layout;auto_map_fill;reviewed;map_symbol_reviewed
