piece_id,space_id,location,reduced
114,257,,false
116,157,,false
117,157,,false
118,195,,true
120,193,,true
122,184,,true
123,303,,false
124,121,,false
125,389,,false
126,391,,false
127,381,,false
128,378,,false
129,380,,false
130,311,,false
131,352,,false
132,312,,false
133,343,,false
134,317,,false
135,313,,false
136,373,,false
137,85,,false
138,382,,false
140,310,,false
149,393,,false
150,404,,false
151,100,,false
154,320,,false
155,403,,false
156,,reserve:allied,false
157,,reserve:allied,false
158,,reserve:allied,false
159,,reserve:allied,false
160,,reserve:allied,false
161,59,,false
163,88,,false
164,65,,false
165,297,,false
166,66,,false
167,74,,false
168,104,,false
169,265,,false
170,260,,false
171,256,,false
172,258,,false
173,98,,false
174,116,,false
177,116,,false
176,122,,false
178,124,,false
181,110,,false
182,108,,false
183,128,,false
184,128,,true
185,125,,false
187,126,,false
189,,reserve:axis,false
190,,reserve:axis,false
194,6,,false
195,41,,false
196,33,,false
197,288,,false
198,42,,false
199,107,,false
200,266,,false
201,90,,false
247,120,,false
202,,setup_choice:occupied_france,true
203,,setup_choice:occupied_france,true
204,89,,false
205,89,,true
207,83,,false
208,83,,false
209,83,,false
210,375,,false
212,375,,false
222,306,,false
214,306,,false
215,306,,false
216,308,,false
218,308,,false
219,309,,false
223,180,,false
224,,reserve:axis,false
225,,reserve:axis,false
226,,reserve:axis,false
227,,reserve:axis,false
232,,reserve:axis,false
233,,reserve:axis,false
234,,reserve:axis,false
235,,reserve:axis,false
236,292,,false
237,,reserve:neutral,false
238,134,,false
242,139,,false
243,,setup_choice:turkey,false
244,,setup_choice:turkey,false
245,,reserve:neutral,false
246,,reserve:neutral,false
401,,available,false
402,,available,false
403,,available,false
404,,available,false
405,,available,false
413,,available,false
414,,available,false
415,,available,false
419,,available,false
420,,available,false
421,,available,false
422,,available,false
423,,available,false
424,,available,false
425,,available,false
426,,available,false
427,,available,false
428,,available,false
429,,available,false
430,,available,false
431,,available,false
432,,available,false
433,,available,false
434,,available,false
435,,available,false
436,,available,false
556,,available,false
437,,available,false
440,,available,false
444,,available,false
445,,available,false
446,,available,false
447,,available,false
448,,available,false
449,,available,false
451,,available,false
452,,available,false
453,,available,false
454,,available,false
455,,available,false
456,,available,false
457,,available,false
459,,available,false
460,,available,false
461,,available,false
462,,available,false
465,,available,false
466,,available,false
467,,available,false
468,,available,false
469,,available,false
474,,available,false
475,,available,false
476,,available,false
477,,available,false
478,,available,false
483,,available,false
484,,available,false
485,,available,false
486,,available,false
487,,available,false
488,,available,false
489,,available,false
490,,available,false
491,,available,false
559,,available,false
492,,available,false
496,,available,false
497,,available,false
500,,available,false
501,,available,false
502,,available,false
560,,available,false
561,,available,false
562,,available,false
563,,available,false
564,,available,false
518,,available,false
565,,available,false
571,,available,false
572,,available,false
573,,available,false
574,,available,false
575,,available,false
576,,available,false
577,,available,false
578,,available,false
579,,available,false
580,,available,false
581,,available,false
